id_prescricao,cpf_paciente,nome_paciente,medicamento,codigo_medicamento,quantidade,data_prescricao
1,8753169484,Pietra Barbosa,Ibuprofeno,DEF456,1,2025-05-09
2,80321976568,Sra. Alana Peixoto,Amoxicilina,DEF456,4,2025-04-28
3,53806174920,Clarice Novaes,Losartana,GHI789,5,2025-05-11
4,15780649294,Miguel Gonçalves,Amoxicilina,DEF456,2,2025-04-21
5,24869135728,Sra. Clarice Costela,Amoxicilina,MNO345,4,2025-04-23
6,59084763157,Gabriela Cunha,Amoxicilina,JKL012,1,2025-05-04
7,29160578467,Dr. João Guilherme Campos,Amoxicilina,DEF456,2,2025-05-10
8,68702931559,Isabelly Moraes,Ibuprofeno,JKL012,3,2025-05-10
9,65218743909,Sr. Vitor Moreira,Losartana,MNO345,4,2025-05-11
10,87052391414,Nicole Lopes,Paracetamol,JKL012,2,2025-05-14
11,31576249034,Dra. Maria Sophia Martins,Dipirona,ABC123,2,2025-04-28
12,65301742817,Luiz Felipe Aragão,Ibuprofeno,GHI789,4,2025-04-22
13,72586439155,Joana da Mota,Paracetamol,DEF456,2,2025-05-10
14,56903142770,Isadora Barbosa,Ibuprofeno,JKL012,3,2025-05-03
15,74890136584,Arthur Santos,Amoxicilina,MNO345,4,2025-04-26
16,17954368246,Sra. Camila da Cruz,Ibuprofeno,MNO345,3,2025-04-30
17,50178943223,Ana Clara Dias,Amoxicilina,MNO345,1,2025-04-21
18,73824960583,Sophia Barros,Losartana,MNO345,2,2025-05-04
19,46983217519,Natália Teixeira,Ibuprofeno,ABC123,4,2025-05-05
20,13850962768,Ana Clara Pires,Losartana,DEF456,2,2025-04-22
21,96174235882,Arthur Porto,Dipirona,ABC123,5,2025-05-10
22,80726931586,Laís Viana,Amoxicilina,ABC123,1,2025-05-18
23,72340961831,Sr. Gustavo Henrique da Costa,Amoxicilina,JKL012,5,2025-04-22
24,62930184787,Nicole Porto,Ibuprofeno,JKL012,4,2025-05-03
25,46250319743,Dr. Theo da Paz,Paracetamol,JKL012,3,2025-05-07
26,17964203878,Dra. Maria Sophia Fogaça,Losartana,GHI789,2,2025-05-13
27,69123548746,Larissa Monteiro,Amoxicilina,DEF456,5,2025-04-24
28,58709123695,Isadora Farias,Dipirona,GHI789,2,2025-05-11
29,48659271076,Calebe Souza,Ibuprofeno,INV,-1,2025-05-02
30,14768925049,Ana Vitória da Luz,Amoxicilina,DEF456,3,2025-05-12
31,23674590883,Heloísa Farias,Dipirona,GHI789,1,2025-05-18
32,18490673250,Pietro Ferreira,Dipirona,MNO345,4,2025-04-20
33,73541960884,Diogo Gonçalves,Amoxicilina,GHI789,2,2025-05-11
34,63987451246,Pedro Nascimento,Losartana,GHI789,4,2025-05-08
35,4193758648,Dra. Maria Cecília Rezende,Amoxicilina,MNO345,5,2025-05-07
36,73952486191,Maria Sophia Novaes,Amoxicilina,DEF456,3,2025-05-05
37,13084795223,Luiz Henrique da Costa,Dipirona,ABC123,1,2025-05-15
38,40865723974,Augusto Carvalho,Losartana,ABC123,5,2025-05-17
39,10346589215,Thiago Pereira,Losartana,ABC123,5,2025-04-21
40,37540986166,Kevin Santos,Losartana,JKL012,5,2025-05-10
41,6759312821,Miguel Novaes,Ibuprofeno,ABC123,1,2025-05-10
42,48172560958,Srta. Elisa Lopes,Losartana,JKL012,3,2025-05-17
43,35048967100,Sra. Bárbara da Luz,Paracetamol,MNO345,4,2025-05-05
44,1762895420,Davi Lucas Caldeira,Dipirona,JKL012,5,2025-05-10
45,73689041520,Bernardo Correia,Amoxicilina,GHI789,3,2025-05-07
46,95846231764,Brenda Silveira,Dipirona,MNO345,1,2025-04-24
47,87149065384,Ana Laura Oliveira,Paracetamol,ABC123,4,2025-05-19
48,78349026103,Gustavo Henrique Costa,Amoxicilina,MNO345,5,2025-05-14
49,65124987049,Maitê Cunha,Paracetamol,ABC123,3,2025-05-18
50,5267134961,Sr. Thiago Mendes,Amoxicilina,DEF456,4,2025-05-18
51,65793142061,Davi Lucas Nascimento,Losartana,DEF456,5,2025-05-01
52,27089345629,Pedro Gonçalves,Losartana,MNO345,2,2025-05-11
53,81725469049,Marcelo Moura,Paracetamol,JKL012,1,2025-04-23
54,52714603807,Carolina Teixeira,Amoxicilina,GHI789,1,2025-05-11
55,24903867196,Kaique Mendes,Paracetamol,GHI789,4,2025-04-25
56,87025396400,Otávio Castro,Losartana,INV,-1,2025-05-11
57,98430725105,Dr. Pedro Lucas Vieira,Losartana,JKL012,3,2025-05-09
58,5326749874,Dr. Vitor Gabriel Alves,Amoxicilina,DEF456,2,2025-05-06
59,26930451770,Ana Luiza Porto,Dipirona,MNO345,1,2025-04-23
60,81032576480,João Pedro da Cruz,Dipirona,DEF456,5,2025-05-01
61,38412970640,Ana Júlia Gomes,Dipirona,MNO345,2,2025-04-22
62,13087692450,Vitor da Cruz,Amoxicilina,DEF456,5,2025-05-04
63,97524680120,Ana Vitória Ramos,Losartana,ABC123,3,2025-05-21
64,2391856415,Otávio Jesus,Losartana,ABC123,1,2025-04-24
65,34719862519,Sra. Heloísa Carvalho,Dipirona,MNO345,5,2025-04-30
66,92850143642,Sr. Carlos Eduardo da Cruz,Ibuprofeno,GHI789,5,2025-05-10
67,26438591700,Olivia Souza,Paracetamol,DEF456,5,2025-04-23
68,73864251044,Sabrina Freitas,Paracetamol,DEF456,1,2025-05-14
69,45067893184,Enzo Porto,Paracetamol,ABC123,3,2025-05-14
70,26791054352,Catarina Souza,Ibuprofeno,MNO345,1,2025-05-08
71,43265807126,Dr. Enzo Ferreira,Dipirona,MNO345,3,2025-04-27
72,46719820303,Davi Nogueira,Dipirona,JKL012,2,2025-04-30
73,15409673875,Maria Clara Souza,Dipirona,GHI789,3,2025-04-29
74,76345082171,Luiz Gustavo Barros,Paracetamol,JKL012,3,2025-04-25
75,50173862977,Luiz Henrique Nascimento,Dipirona,MNO345,5,2025-05-06
76,64957318093,Daniela Rocha,Ibuprofeno,MNO345,2,2025-04-27
77,78190465384,Mariane da Mota,Paracetamol,JKL012,5,2025-05-01
78,1274389631,Luiza Costa,Ibuprofeno,ABC123,2,2025-04-20
79,4312576980,Dra. Daniela Araújo,Ibuprofeno,JKL012,3,2025-05-05
80,4371652808,Gabriela Nascimento,Ibuprofeno,JKL012,1,2025-05-06
81,6817239478,Leandro Pinto,Losartana,ABC123,1,2025-05-10
82,71920834613,Marcos Vinicius da Costa,Losartana,DEF456,1,2025-05-17
83,52097638465,Camila Almeida,Paracetamol,INV,-1,2025-04-27
84,123456789,Dra. Isabella da Paz,Ibuprofeno,INV,-1,2025-04-23
85,3874165957,Sra. Manuela Rodrigues,Dipirona,DEF456,3,2025-04-21
86,43780926547,Rodrigo Cardoso,Paracetamol,JKL012,4,2025-04-26
87,48619032542,Eduarda Nogueira,Paracetamol,ABC123,2,2025-04-21
88,45678129058,Thales Melo,Losartana,GHI789,4,2025-05-12
89,59286417020,Maria Julia Moura,Losartana,ABC123,1,2025-04-22
90,81604753900,Srta. Júlia Freitas,Ibuprofeno,INV,-1,2025-04-27
91,32581764937,Dra. Alexia Almeida,Amoxicilina,ABC123,5,2025-05-09
92,85016934215,Samuel Gomes,Paracetamol,JKL012,1,2025-05-11
93,70431629803,Daniela Alves,Paracetamol,MNO345,3,2025-04-24
94,10835472671,Sofia Souza,Dipirona,JKL012,5,2025-05-02
95,123456789,Julia Caldeira,Dipirona,INV,-1,2025-05-03
96,41632879573,Maria Julia Cavalcanti,Dipirona,GHI789,3,2025-05-17
97,34619708240,Sra. Julia da Paz,Dipirona,ABC123,4,2025-04-21
98,79643852083,Enzo Gabriel Aragão,Dipirona,GHI789,4,2025-05-03
99,32486017526,Dr. Alexandre Vieira,Paracetamol,DEF456,4,2025-05-18
100,38469752065,Dra. Júlia Silveira,Amoxicilina,JKL012,1,2025-04-26
101,97506813203,Pedro Lucas Souza,Dipirona,GHI789,2,2025-05-14
102,86253479083,Vinicius Aragão,Paracetamol,GHI789,5,2025-05-11
103,28613597068,Yuri da Conceição,Losartana,DEF456,2,2025-04-28
104,53206478910,Raquel Peixoto,Paracetamol,JKL012,2,2025-04-26
105,83564219773,Kamilly da Paz,Losartana,MNO345,5,2025-05-20
106,63045982700,Luigi Ferreira,Dipirona,MNO345,1,2025-04-22
107,40891326731,Mariana Souza,Dipirona,JKL012,4,2025-05-03
108,82461035989,Thomas Costa,Dipirona,GHI789,5,2025-04-27
109,43516982764,Luana Carvalho,Dipirona,JKL012,5,2025-05-16
110,76184203940,Dra. Larissa Ramos,Amoxicilina,INV,-1,2025-04-21
111,27915634070,Marcos Vinicius Moreira,Ibuprofeno,GHI789,2,2025-05-20
112,76538210902,Nicole da Mata,Dipirona,GHI789,3,2025-05-15
113,21340568780,Sra. Pietra Dias,Losartana,DEF456,2,2025-05-11
114,91560428333,Sr. Erick Costela,Dipirona,DEF456,5,2025-05-09
115,30857962159,Rafaela Costa,Ibuprofeno,GHI789,5,2025-05-15
116,87953126419,Caio da Mota,Ibuprofeno,JKL012,4,2025-04-30
117,42068937131,João Miguel Rodrigues,Losartana,GHI789,3,2025-04-26
118,26038974113,João Lucas Mendes,Losartana,MNO345,5,2025-05-05
119,123456789,André Cunha,Losartana,INV,-1,2025-04-30
120,82901567312,Maria Sophia Ribeiro,Dipirona,ABC123,1,2025-05-19
121,39251684782,Maria Vitória da Rocha,Dipirona,MNO345,1,2025-05-08
122,60134295706,Ana Luiza Silva,Ibuprofeno,ABC123,2,2025-05-18
123,69248750338,Thomas Pinto,Losartana,INV,-1,2025-05-04
124,60248371940,Calebe da Conceição,Ibuprofeno,MNO345,3,2025-05-03
125,85016794294,Larissa da Luz,Amoxicilina,ABC123,2,2025-05-02
126,18437206987,Lívia Lopes,Dipirona,GHI789,5,2025-05-18
127,97286351419,Milena Pinto,Dipirona,JKL012,2,2025-04-28
128,45267098167,Sofia Lopes,Paracetamol,JKL012,1,2025-05-19
129,30256917868,Isadora da Rocha,Dipirona,DEF456,2,2025-04-20
130,38690547274,Kamilly Caldeira,Paracetamol,ABC123,1,2025-05-19
131,69574310299,Gustavo da Cruz,Ibuprofeno,ABC123,3,2025-05-05
132,4317586207,Lucas da Luz,Paracetamol,DEF456,3,2025-04-24
133,36908412750,Luiz Miguel Silva,Losartana,GHI789,4,2025-04-27
134,14359280670,Miguel Souza,Paracetamol,JKL012,4,2025-05-13
135,34807956175,Maria Sophia da Mata,Amoxicilina,JKL012,5,2025-04-23
136,72604918501,Isaac Campos,Amoxicilina,GHI789,5,2025-04-25
137,94357068193,Natália Moreira,Dipirona,ABC123,5,2025-05-17
138,81029543615,Sra. Olivia Dias,Dipirona,ABC123,4,2025-05-13
139,64381270940,Isabella Farias,Paracetamol,JKL012,3,2025-04-21
140,42860357190,Sr. Ian Pereira,Ibuprofeno,JKL012,1,2025-05-16
141,15963784255,Valentina Almeida,Ibuprofeno,DEF456,5,2025-04-25
142,97514308288,Bianca Costela,Ibuprofeno,DEF456,3,2025-05-16
143,81264539070,Diego Alves,Dipirona,DEF456,2,2025-05-18
144,76402513890,Catarina Campos,Paracetamol,DEF456,4,2025-05-20
145,69875240338,Dra. Maysa Oliveira,Paracetamol,DEF456,1,2025-05-04
146,26719830422,Srta. Maria Vitória Cunha,Paracetamol,ABC123,4,2025-05-11
147,37268954000,Letícia Peixoto,Paracetamol,JKL012,5,2025-05-12
148,42983176509,Mariane Pinto,Dipirona,DEF456,4,2025-04-30
149,6859231777,Maria Luiza Lopes,Paracetamol,JKL012,1,2025-04-24
150,18640359270,Joaquim Ribeiro,Losartana,JKL012,4,2025-05-12
151,29701835441,Marcos Vinicius Nascimento,Dipirona,GHI789,5,2025-04-24
152,14856392719,Dra. Olivia Lopes,Amoxicilina,GHI789,2,2025-05-15
153,56103897203,Dr. Marcos Vinicius das Neves,Dipirona,DEF456,2,2025-04-24
154,26715094306,Emanuel Lopes,Ibuprofeno,JKL012,5,2025-05-20
155,31608425762,Diogo Cardoso,Dipirona,DEF456,4,2025-05-02
