id_prescricao,cpf_paciente,nome_paciente,medicamento,codigo_medicamento,quantidade,data_prescricao
1,08753169484,Pietra Barbosa,Ibuprofeno,DEF456,1,2025-05-09
2,80321976568,Sra. Alana Peixoto,Amoxicilina,DEF456,4,2025-04-28
3,53806174920,Clarice Novaes,Losartana,GHI789,5,2025-05-11
4,15780649294,Miguel Gonçalves,Amoxicilina,DEF456,2,2025-04-21
5,24869135728,Sra. Clarice Costela,Amoxicilina,MNO345,4,2025-04-23
6,59084763157,Gabriela Cunha,Amoxicilina,JKL012,1,2025-05-04
7,29160578467,Dr. João Guilherme Campos,Amoxicilina,DEF456,2,2025-05-10
8,68702931559,Isabelly Moraes,Ibuprofeno,JKL012,3,2025-05-10
9,65218743909,Sr. Vitor Moreira,Losartana,MNO345,4,2025-05-11
10,87052391414,Nicole Lopes,Paracetamol,JKL012,2,2025-05-14
11,31576249034,Dra. Maria Sophia Martins,Dipirona,ABC123,2,2025-04-28
12,65301742817,Luiz Felipe Aragão,Ibuprofeno,GHI789,4,2025-04-22
13,72586439155,Joana da Mota,Paracetamol,DEF456,2,2025-05-10
14,56903142770,Isadora Barbosa,Ibuprofeno,JKL012,3,2025-05-03
15,74890136584,Arthur Santos,Amoxicilina,MNO345,4,2025-04-26
16,17954368246,Sra. Camila da Cruz,Ibuprofeno,MNO345,3,2025-04-30
17,50178943223,Ana Clara Dias,Amoxicilina,MNO345,1,2025-04-21
18,73824960583,Sophia Barros,Losartana,MNO345,2,2025-05-04
19,46983217519,Natália Teixeira,Ibuprofeno,ABC123,4,2025-05-05
20,13850962768,Ana Clara Pires,Losartana,DEF456,2,2025-04-22
21,96174235882,Arthur Porto,Dipirona,ABC123,5,2025-05-10
22,80726931586,Laís Viana,Amoxicilina,ABC123,1,2025-05-18
23,72340961831,Sr. Gustavo Henrique da Costa,Amoxicilina,JKL012,5,2025-04-22
24,62930184787,Nicole Porto,Ibuprofeno,JKL012,4,2025-05-03
25,46250319743,Dr. Theo da Paz,Paracetamol,JKL012,3,2025-05-07
26,17964203878,Dra. Maria Sophia Fogaça,Losartana,GHI789,2,2025-05-13
27,69123548746,Larissa Monteiro,Amoxicilina,DEF456,5,2025-04-24
28,58709123695,Isadora Farias,Dipirona,GHI789,2,2025-05-11
29,48659271076,Calebe Souza,Ibuprofeno,INV,-1,2025-05-02
30,14768925049,Ana Vitória da Luz,Amoxicilina,DEF456,3,2025-05-12
31,23674590883,Heloísa Farias,Dipirona,GHI789,1,2025-05-18
32,18490673250,Pietro Ferreira,Dipirona,MNO345,4,2025-04-20
33,73541960884,Diogo Gonçalves,Amoxicilina,GHI789,2,2025-05-11
34,63987451246,Pedro Nascimento,Losartana,GHI789,4,2025-05-08
35,04193758648,Dra. Maria Cecília Rezende,Amoxicilina,MNO345,5,2025-05-07
36,73952486191,Maria Sophia Novaes,Amoxicilina,DEF456,3,2025-05-05
37,13084795223,Luiz Henrique da Costa,Dipirona,ABC123,1,2025-05-15
38,40865723974,Augusto Carvalho,Losartana,ABC123,5,2025-05-17
39,10346589215,Thiago Pereira,Losartana,ABC123,5,2025-04-21
40,37540986166,Kevin Santos,Losartana,JKL012,5,2025-05-10
41,06759312821,Miguel Novaes,Ibuprofeno,ABC123,1,2025-05-10
42,48172560958,Srta. Elisa Lopes,Losartana,JKL012,3,2025-05-17
43,35048967100,Sra. Bárbara da Luz,Paracetamol,MNO345,4,2025-05-05
44,01762895420,Davi Lucas Caldeira,Dipirona,JKL012,5,2025-05-10
45,73689041520,Bernardo Correia,Amoxicilina,GHI789,3,2025-05-07
46,95846231764,Brenda Silveira,Dipirona,MNO345,1,2025-04-24
47,87149065384,Ana Laura Oliveira,Paracetamol,ABC123,4,2025-05-19
48,78349026103,Gustavo Henrique Costa,Amoxicilina,MNO345,5,2025-05-14
49,65124987049,Maitê Cunha,Paracetamol,ABC123,3,2025-05-18
50,05267134961,Sr. Thiago Mendes,Amoxicilina,DEF456,4,2025-05-18
51,65793142061,Davi Lucas Nascimento,Losartana,DEF456,5,2025-05-01
52,27089345629,Pedro Gonçalves,Losartana,MNO345,2,2025-05-11
53,81725469049,Marcelo Moura,Paracetamol,JKL012,1,2025-04-23
54,52714603807,Carolina Teixeira,Amoxicilina,GHI789,1,2025-05-11
55,24903867196,Kaique Mendes,Paracetamol,GHI789,4,2025-04-25
56,87025396400,Otávio Castro,Losartana,INV,-1,2025-05-11
57,98430725105,Dr. Pedro Lucas Vieira,Losartana,JKL012,3,2025-05-09
58,05326749874,Dr. Vitor Gabriel Alves,Amoxicilina,DEF456,2,2025-05-06
59,26930451770,Ana Luiza Porto,Dipirona,MNO345,1,2025-04-23
60,81032576480,João Pedro da Cruz,Dipirona,DEF456,5,2025-05-01
61,38412970640,Ana Júlia Gomes,Dipirona,MNO345,2,2025-04-22
62,13087692450,Vitor da Cruz,Amoxicilina,DEF456,5,2025-05-04
63,97524680120,Ana Vitória Ramos,Losartana,ABC123,3,2025-05-21
64,02391856415,Otávio Jesus,Losartana,ABC123,1,2025-04-24
65,34719862519,Sra. Heloísa Carvalho,Dipirona,MNO345,5,2025-04-30
66,92850143642,Sr. Carlos Eduardo da Cruz,Ibuprofeno,GHI789,5,2025-05-10
67,26438591700,Olivia Souza,Paracetamol,DEF456,5,2025-04-23
68,73864251044,Sabrina Freitas,Paracetamol,DEF456,1,2025-05-14
69,45067893184,Enzo Porto,Paracetamol,ABC123,3,2025-05-14
70,26791054352,Catarina Souza,Ibuprofeno,MNO345,1,2025-05-08
71,43265807126,Dr. Enzo Ferreira,Dipirona,MNO345,3,2025-04-27
72,46719820303,Davi Nogueira,Dipirona,JKL012,2,2025-04-30
73,15409673875,Maria Clara Souza,Dipirona,GHI789,3,2025-04-29
74,76345082171,Luiz Gustavo Barros,Paracetamol,JKL012,3,2025-04-25
75,50173862977,Luiz Henrique Nascimento,Dipirona,MNO345,5,2025-05-06
76,64957318093,Daniela Rocha,Ibuprofeno,MNO345,2,2025-04-27
77,78190465384,Mariane da Mota,Paracetamol,JKL012,5,2025-05-01
78,01274389631,Luiza Costa,Ibuprofeno,ABC123,2,2025-04-20
79,04312576980,Dra. Daniela Araújo,Ibuprofeno,JKL012,3,2025-05-05
80,04371652808,Gabriela Nascimento,Ibuprofeno,JKL012,1,2025-05-06
81,06817239478,Leandro Pinto,Losartana,ABC123,1,2025-05-10
82,71920834613,Marcos Vinicius da Costa,Losartana,DEF456,1,2025-05-17
83,52097638465,Camila Almeida,Paracetamol,INV,-1,2025-04-27
84,123456789,Dra. Isabella da Paz,Ibuprofeno,INV,-1,2025-04-23
85,03874165957,Sra. Manuela Rodrigues,Dipirona,DEF456,3,2025-04-21
86,43780926547,Rodrigo Cardoso,Paracetamol,JKL012,4,2025-04-26
87,48619032542,Eduarda Nogueira,Paracetamol,ABC123,2,2025-04-21
88,45678129058,Thales Melo,Losartana,GHI789,4,2025-05-12
89,59286417020,Maria Julia Moura,Losartana,ABC123,1,2025-04-22
90,81604753900,Srta. Júlia Freitas,Ibuprofeno,INV,-1,2025-04-27
91,32581764937,Dra. Alexia Almeida,Amoxicilina,ABC123,5,2025-05-09
92,85016934215,Samuel Gomes,Paracetamol,JKL012,1,2025-05-11
